         18034643 function calls (18032453 primitive calls) in 20.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.000    0.000    0.000    0.000 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/_distutils_hack/__init__.py:101(find_spec)
       50    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:500(__getitem__)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      335    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      180    0.000    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1130(__init__)
     1736    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:760(<genexpr>)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      146    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1541(__and__)
      256    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1546(__eq__)
    98/92    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1453(_path_hooks)
        1    0.000    0.000    0.008    0.008 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/_internal.py:1(<module>)
      100    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/getlimits.py:1(<module>)
       99    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1517(find_spec)
      348    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1699(_get_protocol_attrs)
       75    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      310    0.000    0.000    0.000    0.000 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/function_base.py:473(_add_docstring)
        8    0.000    0.000    0.005    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:2739(_make_nmtuple)
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        8    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:511(_compile_info)
      910    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1564(__init__)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      743    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      224    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:168(__getitem__)
      910    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       36    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.000    0.000 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/function_base.py:26(linspace)
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
       75    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/platform.py:1(<module>)
      460    0.000    0.000    0.000    0.000 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_utils/_inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/_methods.py:1(<module>)
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      184    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1274(<genexpr>)
        8    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      109    0.000    0.000    0.000    0.000 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_utils/__init__.py:17(set_module)
      365    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
      400    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:166(_type_convert)
     17/8    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      101    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
       18    0.000    0.000    0.000    0.000 /Users/chrisge/Downloads/assignment1-basics/.venv/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1704(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pickle.py:1(<module>)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      549    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py:1233(__eq__)
        8    0.000    0.000    0.005    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:740(compile)
       38    0.000    0.000    0.000    0.000 {built-in method sys.intern}
